code_postal,nom,code_insee,latitude,longitude,code_departement,nom_departement,code_region,nom_region
1250,Cize,1106,46.2003848172,5.45082526739,1,Ain,84,Auvergne-Rhône-Alpes
1230,Cleyzieu,1107,45.902146623,5.43272695486,1,Ain,84,Auvergne-Rhône-Alpes
1270,Coligny,1108,46.3866637865,5.3308227014,1,Ain,84,Auvergne-Rhône-Alpes
1550,Collonges,1109,46.1419227898,5.90040256654,1,Ain,84,Auvergne-Rhône-Alpes
1300,Colomieu,1110,45.7361469025,5.62670101041,1,Ain,84,Auvergne-Rhône-Alpes
1230,Conand,1111,45.8834810846,5.47541328981,1,Ain,84,Auvergne-Rhône-Alpes
1430,Condamine,1112,46.105831161,5.55568206762,1,Ain,84,Auvergne-Rhône-Alpes
1400,Condeissiat,1113,46.1538469834,5.08437171701,1,Ain,84,Auvergne-Rhône-Alpes
1200,Confort,1114,46.1543700156,5.83319395258,1,Ain,84,Auvergne-Rhône-Alpes
1310,Confrançon,1115,46.270304175,5.05775217893,1,Ain,84,Auvergne-Rhône-Alpes
1300,Contrevoz,1116,45.8009403071,5.62087768159,1,Ain,84,Auvergne-Rhône-Alpes
1300,Conzieu,1117,45.7253102173,5.60442351043,1,Ain,84,Auvergne-Rhône-Alpes
1420,Corbonod,1118,45.9659473187,5.78961970355,1,Ain,84,Auvergne-Rhône-Alpes
1110,Corlier,1121,46.0336885573,5.49635755029,1,Ain,84,Auvergne-Rhône-Alpes
1110,Cormaranche-en-Bugey,1122,45.9442772826,5.60860828487,1,Ain,84,Auvergne-Rhône-Alpes
1290,Cormoranche-sur-Saône,1123,46.2403530179,4.8276569593,1,Ain,84,Auvergne-Rhône-Alpes
1560,Cormoz,1124,46.4336632942,5.22181275755,1,Ain,84,Auvergne-Rhône-Alpes
1250,Corveissiat,1125,46.2505107235,5.47152467919,1,Ain,84,Auvergne-Rhône-Alpes
1370,Courmangoux,1127,46.3267864521,5.35558241812,1,Ain,84,Auvergne-Rhône-Alpes
1560,Courtes,1128,46.4570082032,5.11128546723,1,Ain,84,Auvergne-Rhône-Alpes
1320,Crans,1129,45.9663793103,5.19490390871,1,Ain,84,Auvergne-Rhône-Alpes
1340,Cras-sur-Reyssouze,1130,46.3130831891,5.17796707174,1,Ain,84,Auvergne-Rhône-Alpes
